Time,Aggregate_CPU(%),Aggregate_Memory(GB)
2025-12-01 13:58:16,0.0,0.00
2025-12-01 13:58:19,0.0,0.00
2025-12-01 13:58:22,0.0,0.00
2025-12-01 13:58:25,0.0,0.00
2025-12-01 13:58:28,0.0,0.00
2025-12-01 13:58:31,0.0,0.00
2025-12-01 13:58:34,0.0,0.00
2025-12-01 13:58:37,0.0,0.00
2025-12-01 13:58:40,0.0,0.00
2025-12-01 13:58:44,0.0,0.00
2025-12-01 13:58:47,0.0,0.00
2025-12-01 13:58:50,0.0,0.00
2025-12-01 13:58:53,0.0,0.00
2025-12-01 13:58:56,0.0,0.00
2025-12-01 13:58:59,0.0,0.00
2025-12-01 13:59:02,0.0,0.00
2025-12-01 13:59:05,0.0,0.00
2025-12-01 13:59:08,0.0,0.00
2025-12-01 13:59:11,0.0,0.00
2025-12-01 13:59:14,0.0,0.00
2025-12-01 13:59:17,0.0,0.00
2025-12-01 13:59:20,0.0,0.00
2025-12-01 13:59:23,0.0,0.00
2025-12-01 13:59:26,0.0,0.00
2025-12-01 13:59:29,0.0,0.00
2025-12-01 13:59:32,0.0,0.00
2025-12-01 13:59:35,0.0,0.00
2025-12-01 13:59:38,0.0,0.00
2025-12-01 13:59:41,0.0,0.00
2025-12-01 13:59:44,0.0,0.00
2025-12-01 13:59:47,0.0,0.00
2025-12-01 13:59:50,0.0,0.00
2025-12-01 13:59:53,0.0,0.00
2025-12-01 13:59:56,0.0,0.00
2025-12-01 13:59:59,0.0,0.00
2025-12-01 14:00:02,0.0,0.00
2025-12-01 14:00:05,0.0,0.00
2025-12-01 14:00:09,0.0,0.00
2025-12-01 14:00:12,0.0,0.00
2025-12-01 14:00:15,0.0,0.00
2025-12-01 14:00:18,0.0,0.00
2025-12-01 14:00:21,0.0,0.00
2025-12-01 14:00:24,0.0,0.00
2025-12-01 14:00:27,0.0,0.00
2025-12-01 14:00:30,0.0,0.00
2025-12-01 14:00:33,0.0,0.00
2025-12-01 14:00:36,0.0,0.00
2025-12-01 14:00:39,0.0,0.00
2025-12-01 14:00:42,0.0,0.00
2025-12-01 14:00:45,0.0,0.00
2025-12-01 14:00:48,0.0,0.00
2025-12-01 14:00:51,0.0,0.00
2025-12-01 14:00:54,0.0,0.00
2025-12-01 14:00:57,0.0,0.00
2025-12-01 14:01:00,0.0,0.00
2025-12-01 14:01:03,0.0,0.00
2025-12-01 14:01:06,0.0,0.00
2025-12-01 14:01:09,0.0,0.00
2025-12-01 14:01:12,0.0,0.00
2025-12-01 14:01:15,0.0,0.00
2025-12-01 14:01:18,0.0,0.00
2025-12-01 14:01:21,0.0,0.00
2025-12-01 14:01:24,0.0,0.00
2025-12-01 14:01:27,0.0,0.00
2025-12-01 14:01:31,45.0,0.27
2025-12-01 14:01:35,194.0,0.66
2025-12-01 14:01:39,152.0,0.83
2025-12-01 14:01:43,369.0,1.34
